repository,url,domain,focus,suggested_tier,discovery_score,relevance_score,activity_score,stars,forks,open_issues,language,license,created_at,pushed_at,archived,topics,matched_queries,reason,decision,discovered_at
kcieslik/eq-insar,https://github.com/kcieslik/eq-insar,Seismic / Processing,Generate synthetic InSAR deformation data from earthquake sources for Machine/Deep Learning training,Reference,51.5,51,53.3,16,5,14,Python,MIT,2026-02-01T09:32:52Z,2026-06-08T16:38:52Z,False,deep-learning;deformation;earthquakes;geophysics;induced-seismicity;insar;machine-learning;python;remote-sensing;sar;segmentation;seismology;synthetic-data;training-data,"geophysics machine learning in:name,description,topics","relevance=51; activity=53.3; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
21NWillis/Richter,https://github.com/21NWillis/Richter,Seismic / Processing,"A CUDA-optimized 3D Acoustic Wave Propagation engine built for Reverse Time Migration (RTM) and Full Waveform Inversion (FWI) workloads. Named after Charles F. Richter — because when it comes to seismic compute, magnitude matters.",Reference,51.3,69,30.4,0,0,0,C++,,2026-02-16T09:04:13Z,2026-03-13T08:36:03Z,False,,"full waveform inversion FWI seismic in:name,description,topics;reverse time migration RTM seismic in:name,description,topics","relevance=69; activity=30.4; matched=fwi, rtm, seismic",review,2026-09-04T17:04:06.421401+00:00
nfsi-canada/OBStools,https://github.com/nfsi-canada/OBStools,Seismic / Processing,Tools for processing broadband ocean-bottom seismic data,Reference,51.1,51,43.8,64,39,2,Python,MIT,2019-10-15T21:14:35Z,2025-07-09T15:55:34Z,False,compliance;geophysics;noise;ocean-bottom-seismometer;python;seismology;tilt,"seismic processing geophysics in:name,description,topics","relevance=51; activity=43.8; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
marcuspaiv/DIO_desafio_miniguide-ai-seismic-interpretation_with_NotebookLM,https://github.com/marcuspaiv/DIO_desafio_miniguide-ai-seismic-interpretation_with_NotebookLM,Geoscience / Other,"Study project on Artificial Intelligence applied to seismic interpretation, including curated sources and a structured learning guide for geoscience applications.",Reference,50.5,66,34.2,0,1,0,Jupyter Notebook,,2026-03-23T15:22:44Z,2026-04-18T15:38:37Z,False,,"seismic interpretation geoscience in:name,description,topics","relevance=66; activity=34.2; matched=geoscience, seismic",review,2026-09-04T17:04:06.421401+00:00
dzianddg/GeoFaciesRAG,https://github.com/dzianddg/GeoFaciesRAG,Geoscience / Other,AI-powered seismic facies interpretation assistant — RAG pipeline backed by your own geoscience literature,Reference,50.3,66,33.5,0,0,0,Python,,2026-05-04T04:53:18Z,2026-05-09T12:52:46Z,False,,"seismic interpretation geoscience in:name,description,topics","relevance=66; activity=33.5; matched=geoscience, seismic",review,2026-09-04T17:04:06.421401+00:00
ericrenone/ERIE-LITHO,https://github.com/ericrenone/ERIE-LITHO,Geothermal,"The Ten-to-the-Thirtieth-Cell Intraterrestrial Deep-Biosphere col(F)/ker(F) of Subsurface Habitation, the Serpentinization-Driven Lost-City-and-Kunlun Hydrogen Federation as the Sherman–Morrison Substrate of Origin-of-Life Chemistry, the Ge",Reference,50.1,66,32.9,0,0,0,,,2026-04-27T07:07:22Z,2026-04-27T07:07:28Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=32.9; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
lione12138/AGT-Intern-bhe-model-comparison,https://github.com/lione12138/AGT-Intern-bhe-model-comparison,Geothermal,"Comparative modeling of shallow geothermal borehole heat exchangers using EED, analytical 2-D solutions, and MODFLOW 6 GWE. The project aims to validate numerical and analytical approaches for subsurface temperature simulation.",Reference,50.0,66,28.3,1,0,0,Jupyter Notebook,MIT,2025-12-06T12:32:51Z,2025-12-15T21:37:32Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=28.3; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Muhammadyasin-5/Google-Events_Geothermal-Energy-Concierge-,https://github.com/Muhammadyasin-5/Google-Events_Geothermal-Energy-Concierge-,Geoscience / Other,Harnessing Subsurface Heat through Data-Driven Analysis and Geological Insights,Reference,49.9,66,27.8,1,0,0,Jupyter Notebook,,2025-11-29T05:05:14Z,2025-12-06T21:50:56Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=27.8; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Muhammadyasin-5/Geothermal-Energy-Concierge-,https://github.com/Muhammadyasin-5/Geothermal-Energy-Concierge-,Geoscience / Other,Harnessing Subsurface Heat through Data-Driven Analysis and Geological Insights,Reference,49.9,66,27.7,1,0,0,Jupyter Notebook,MIT,2025-12-03T13:07:50Z,2025-12-03T13:07:53Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=27.7; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
RichardScottOZ/Geoscience-Data-Quality-for-Machine-Learning,https://github.com/RichardScottOZ/Geoscience-Data-Quality-for-Machine-Learning,Seismic / Processing,Python package for looking at the problems associated with geoscience datasets for data science,Reference,49.8,51,47.3,16,9,0,Jupyter Notebook,,2021-02-03T22:31:41Z,2026-03-10T21:55:44Z,False,data-quality;data-science;geochemistry;geology;geophysics;geoscience;machine-learning,"geophysics machine learning in:name,description,topics","relevance=51; activity=47.3; matched=geophysics, geoscience",review,2026-09-04T17:04:06.421401+00:00
MakeLikePaperrr/Fracture-Preprocessing-Code,https://github.com/MakeLikePaperrr/Fracture-Preprocessing-Code,Geoscience / Other,"Open-source preprocessing tool that can create, at the required level of accuracy, a fully conformal uniformly distributed grid for a given realistic fracture network. This leads to a robust way of constructing a hierarchy of Discrete-Fract",Reference,49.0,66,13.3,11,3,0,Python,NOASSERTION,2021-09-01T12:03:16Z,2022-08-26T14:41:47Z,False,darts;delft-university-of-technology;fluid-flow;fractures;geoscience;porous-media;preprocessing;python,"reservoir modeling geoscience in:name,description,topics","relevance=66; activity=13.3; matched=geoscience, reservoir",review,2026-09-04T17:04:06.421401+00:00
seho0808/machine_learning_approach_for_subsurface_temperature_prediction,https://github.com/seho0808/machine_learning_approach_for_subsurface_temperature_prediction,Geothermal,Code Documentation for https://geothermal-energy-journal.springeropen.com/articles/10.1186/s40517-021-00200-4,Reference,48.8,66,13.7,9,5,0,Jupyter Notebook,,2020-03-09T18:23:02Z,2021-10-19T11:46:51Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=13.7; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Momo3972/oil-reservoir-prediction-ml,https://github.com/Momo3972/oil-reservoir-prediction-ml,Geoscience / Other,Interpretable ML for geoscience prediction with SHAP-based model validation,Reference,47.8,66,24.7,0,0,0,Jupyter Notebook,,2025-11-22T00:44:02Z,2025-11-28T23:57:48Z,False,classification;feature-engineering;geoscience;machine-learning;random-forest;shap;xgbosst,"reservoir modeling geoscience in:name,description,topics","relevance=66; activity=24.7; matched=geoscience, reservoir",review,2026-09-04T17:04:06.421401+00:00
2aronS/seismic,https://github.com/2aronS/seismic,Seismic / Processing,Official Python library for seismic data processing and analysis,Reference,47.7,51,43.1,9,0,0,Rust,MIT,2026-05-19T11:40:43Z,2026-05-19T11:40:51Z,False,data-processing;geophysics;rust;scientific-computing;seismic;seismic-data,"seismic processing geophysics in:name,description,topics","relevance=51; activity=43.1; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Nassor-Salum/Nassor-Salum,https://github.com/Nassor-Salum/Nassor-Salum,Drilling / Production,"Welcome to my professional portfolio. I am a dedicated petroleum engineer with extensive experience in optimizing oil and gas extraction processes, reservoir management, and implementing innovative drilling and production techniques.",Reference,47.3,69,16.2,0,0,0,,,2025-04-08T02:41:53Z,2025-06-26T05:47:23Z,False,,"production optimization oil gas in:name,description,topics","relevance=69; activity=16.2; matched=drilling, petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
unpatentable/innovation-subsurface-healing-networks-transforming-abandoned-mine-voids-into-community-geo,https://github.com/unpatentable/innovation-subsurface-healing-networks-transforming-abandoned-mine-voids-into-community-geo,Geothermal,Subsurface Healing Networks – Transforming Abandoned Mine Voids into Community Geothermal Bioreactors — a defensive publication hosted by Unpatentable.org.,Reference,47.3,66,22.8,0,0,0,,,2025-10-24T14:02:00Z,2025-10-24T14:02:01Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=22.8; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
lphowell/Geothermal-Modelling,https://github.com/lphowell/Geothermal-Modelling,Geoscience / Other,Code and data for northern England subsurface temperature modelling,Reference,46.2,66,10.1,3,5,0,MATLAB,,2020-05-19T09:48:31Z,2020-05-19T09:55:27Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=10.1; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
gganssle/tle_fwi,https://github.com/gganssle/tle_fwi,Seismic / Processing,Seismic data full waveform inversion tutorial.,Reference,45.4,51,23.9,58,20,0,Jupyter Notebook,MIT,2016-03-29T15:01:43Z,2016-05-10T19:43:38Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=23.9; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
jsteinberg34/groundtrack,https://github.com/jsteinberg34/groundtrack,Seismic / Processing,Seismic waveform acquisition and processing pipeline for atmospheric re-entry events,Reference,44.9,51,43.3,1,0,2,Python,MIT,2026-03-13T12:17:44Z,2026-08-28T16:46:18Z,False,fdsn;geophysics;obspy;python;reentry;seismic-detection;seismology;sgp4;sonicboom;space-debris;waveform-processing,"seismic processing geophysics in:name,description,topics","relevance=51; activity=43.3; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Pequenopolis/awesome-geophysics,https://github.com/Pequenopolis/awesome-geophysics,Seismic / Processing,"Awesome Geophysics is a community-curated resource offering essential tools, datasets, and educational materials for geophysical exploration. It’s designed to empower students, researchers, and professionals to analyze data, model Earth pro",Reference,44.7,51,42.5,1,0,0,HTML,CC0-1.0,2025-03-26T02:04:30Z,2026-09-04T00:58:05Z,False,awesome;awesome-resources;geoelectrics;geophysics;gpr;gravitomagnetism;ground-penetrating-radar;magnetometer;seismic;seismology,"seismic processing geophysics in:name,description,topics","relevance=51; activity=42.5; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
prasun-iitj/AMGCR-Earthquake-Early-Warning,https://github.com/prasun-iitj/AMGCR-Earthquake-Early-Warning,Seismic / Processing,"Assessment and Management of Geological and Climate Related Risk (AMGCR): An open-source scientific reproduction of the EarthESND earthquake early warning system using ObsPy, EarthScope/IRIS seismic data, Echo State Networks, Dendritic Neur",Reference,44.4,51,41.5,1,0,1,TypeScript,MIT,2026-07-28T19:28:33Z,2026-08-02T10:36:40Z,False,ctgan;dendritic-networks;earthquake;earthquake-data;earthquake-early-warning;earthquakes;earthscope;echo-state-networks;fdsn;geophysics;machine-learning;obspy;python;research;scientific-reproducibility;seismic-waves;seismology;signal-processing;time-series;waveforms,"geophysics machine learning in:name,description,topics","relevance=51; activity=41.5; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
palemoons/FuTE-FWI,https://github.com/palemoons/FuTE-FWI,Seismic / Processing,Towards complex seismic layers: A vision Transformer approach to full waveform inversion,Reference,44.3,51,34.3,5,1,0,Python,,2024-12-19T13:45:46Z,2025-12-13T08:14:34Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=34.3; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
kcabrera-oil-gas/reservoir-history-matching,https://github.com/kcabrera-oil-gas/reservoir-history-matching,Reservoir / Simulation,ML-assisted history matching & production forecasting for reservoirs,Reference,44.2,51,40.7,1,0,0,Python,,2026-07-23T05:07:42Z,2026-07-29T04:39:16Z,False,flask;forecasting;history-matching;machine-learning;petroleum;production;python;reservoir,"history matching reservoir in:name,description,topics","relevance=51; activity=40.7; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
SCaLA-Group/SciML-GeoBench,https://github.com/SCaLA-Group/SciML-GeoBench,Geoscience / Other,Benchmarking for Scientific Machine Learning in Subsurface Geoscience,Reference,43.9,51,37.0,2,0,0,,,2026-04-16T18:56:06Z,2026-04-24T19:00:12Z,False,,"geoscience machine learning subsurface in:name,description,topics","relevance=51; activity=37.0; matched=geoscience, subsurface",review,2026-09-04T17:04:06.421401+00:00
michaelgrund/stacksplit,https://github.com/michaelgrund/stacksplit,Seismic / Processing,Multi-event processing plugin for the MATLAB shear-wave splitting toolbox SplitLab,Reference,43.7,51,25.1,17,4,0,MATLAB,GPL-3.0,2016-12-24T14:32:13Z,2025-02-26T10:35:33Z,False,anisotropy;geophysics;matlab;seismic;seismology;shear-wave-splitting;splitlab,"seismic processing geophysics in:name,description,topics","relevance=51; activity=25.1; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Vasanth1984/GeoHackathon_SPE_2021,https://github.com/Vasanth1984/GeoHackathon_SPE_2021,Geothermal,Participated in a GeoHackathon organized by SPE in December 2021. Placed in Top Ten from 40 teams participated. Devised a development plan for a Geothermal field using subsurface and surface network data employing data driven methods and in,Reference,43.7,66,5.6,1,2,0,Jupyter Notebook,,2021-12-23T15:24:20Z,2021-12-23T17:12:58Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=5.6; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
AvionicS-7/Well_Log_Lithology_Classification,https://github.com/AvionicS-7/Well_Log_Lithology_Classification,Seismic / Processing,Machine Learning pipeline for automated well log lithology classification using the FORCE 2020 dataset with an interactive Streamlit dashboard (upcoming).,Reference,43.6,54,36.3,0,0,0,Python,,2026-06-28T13:14:07Z,2026-06-28T13:28:29Z,False,data-science;geophysics;lithology;machine-learning;petroleum;python;scikit-learn;well-logs,"geophysics machine learning in:name,description,topics","relevance=54; activity=36.3; matched=geophysics, petroleum, well log",review,2026-09-04T17:04:06.421401+00:00
Philliec459/Jupyter-Notebooks_for-Characterization-of-a-New-Open-Source-Carbonate-Reservoir-Benchmarking-Case-St,https://github.com/Philliec459/Jupyter-Notebooks_for-Characterization-of-a-New-Open-Source-Carbonate-Reservoir-Benchmarking-Case-St,Petrophysics / Data,"We have used the new hierarchical carbonate reservoir benchmarking case study created by Costa Gomes J, Geiger S, Arnold D to be used for reservoir characterization, uncertainty quantification and history matching.",Reference,42.8,51,19.6,26,12,0,Jupyter Notebook,MIT,2022-03-12T00:03:58Z,2023-08-16T16:51:16Z,False,carbonate;characterization;costa;lithology;log-analysis;optimization;petrophysics;production;reservoir;reservoir-characterization;saturating-functions,"history matching reservoir in:name,description,topics","relevance=51; activity=19.6; matched=petrophysics, reservoir",review,2026-09-04T17:04:06.421401+00:00
knible/awesome-geophysics,https://github.com/knible/awesome-geophysics,Seismic / Processing,"Awesome Geophysics is a community-curated resource offering essential tools, datasets, and educational materials for geophysical exploration. It’s designed to empower students, researchers, and professionals to analyze data, model Earth pro",Reference,42.8,51,39.8,0,0,0,HTML,CC0-1.0,2025-03-26T03:36:26Z,2026-09-04T00:58:09Z,False,awesome;awesome-resources;geoelectrics;geophysics;gpr;gravitomagnetism;ground-penetrating-radar;magnetometer;seismic;seismology,"seismic processing geophysics in:name,description,topics","relevance=51; activity=39.8; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
ajayws/rtmpy,https://github.com/ajayws/rtmpy,Seismic / Processing,Seismic wave modeling and reverse time migration - gpu implementation,Reference,42.4,51,18.7,23,8,1,Python,MIT,2016-03-22T19:06:52Z,2016-05-28T17:49:55Z,False,,"reverse time migration RTM seismic in:name,description,topics","relevance=51; activity=18.7; matched=rtm, seismic",review,2026-09-04T17:04:06.421401+00:00
Srouxel3008/SEIS25D_GQG_v2,https://github.com/Srouxel3008/SEIS25D_GQG_v2,Seismic / Processing,2.5D frequency-domain viscoelastic anisotropic seismic modelling and full-waveform inversion (FWI) FORTRAN90 program.,Reference,42.4,51,38.6,0,0,0,Fortran,GPL-3.0,2026-08-05T08:27:11Z,2026-08-10T20:11:51Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=38.6; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
mrzamaniiii/Reflection-Seismic-Data-Processing,https://github.com/mrzamaniiii/Reflection-Seismic-Data-Processing,Seismic / Processing,This repository documents the complete seismic reflection data processing workflow applied to a Common Shot Gather dataset (RRAW.SGY).,Reference,42.2,51,33.6,1,0,0,,MIT,2025-12-12T00:04:55Z,2026-03-21T08:40:53Z,False,2d-seismic;geophysics;reflexw;seismic-data-processing;seismic-reflection-data;signal-processing,"seismic processing geophysics in:name,description,topics","relevance=51; activity=33.6; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
atharvphatak/petrophysical-analysis-pipeline,https://github.com/atharvphatak/petrophysical-analysis-pipeline,Petrophysics / Data,"An automated Python pipeline for petrophysical interpretation of well log (LAS) data — computing key reservoir properties across a multi-well dataset, ranking perforation intervals, and generating publication-quality composite log reports.",Reference,42.1,51,37.4,0,0,0,Lasso,,2026-07-18T17:01:39Z,2026-07-18T17:02:06Z,False,,"petrophysics well logs in:name,description,topics","relevance=51; activity=37.4; matched=reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
ejchicaq-unal/RTM-MatLab-Code,https://github.com/ejchicaq-unal/RTM-MatLab-Code,Seismic / Processing,Reverse Time Migration MatLab Code: this code allows us to run RTM in synthetic seismic data,Reference,42.0,51,17.8,21,6,1,MATLAB,NOASSERTION,2020-04-29T00:21:56Z,2023-10-23T23:55:38Z,False,,"reverse time migration RTM seismic in:name,description,topics","relevance=51; activity=17.8; matched=rtm, seismic",review,2026-09-04T17:04:06.421401+00:00
abdgafartunde/seismic-inversion-ml,https://github.com/abdgafartunde/seismic-inversion-ml,Seismic / Processing,End-to-end learned seismic full-waveform inversion using the OpenFWI benchmark dataset. Data-driven velocity model building with neural networks trained on synthetic acoustic FWI data.,Reference,42.0,51,37.0,0,0,0,,,2026-07-12T08:09:44Z,2026-07-12T08:12:24Z,False,,"full waveform inversion FWI seismic in:name,description,topics","relevance=51; activity=37.0; matched=fwi, seismic",review,2026-09-04T17:04:06.421401+00:00
jaideep2023-gif/petrophysical-well-log-analysis,https://github.com/jaideep2023-gif/petrophysical-well-log-analysis,Petrophysics / Data,Petrophysical analysis of well log data for reservoir characterization using Python.,Reference,42.0,51,36.9,0,0,0,Lasso,,2026-07-09T06:28:30Z,2026-07-09T09:18:52Z,False,,"petrophysics well logs in:name,description,topics","relevance=51; activity=36.9; matched=reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
vortex-yash/Petrophysical-Analysis-from-Well-Logs,https://github.com/vortex-yash/Petrophysical-Analysis-from-Well-Logs,Petrophysics / Data,Petrophysical Analysis and Reservoir Characterization using Well Log Data,Reference,42.0,51,36.9,0,0,0,Jupyter Notebook,,2026-07-09T06:32:05Z,2026-07-09T07:02:08Z,False,,"petrophysics well logs in:name,description,topics","relevance=51; activity=36.9; matched=reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
nikitkuv/petroleum_traps_segmentation,https://github.com/nikitkuv/petroleum_traps_segmentation,Geoscience / Other,CV segmentation model to delineate structural geological traps in structural maps of seismic horizons,Reference,42.0,51,37.0,0,0,0,Python,,2026-02-18T22:13:12Z,2026-07-11T08:55:22Z,False,,"geological modeling structural geology in:name,description,topics","relevance=51; activity=37.0; matched=petroleum, seismic",review,2026-09-04T17:04:06.421401+00:00
macgore/Excel-petroleum-production-analytics-,https://github.com/macgore/Excel-petroleum-production-analytics-,Geoscience / Other,"Excel based production surveillance and executive dashboard for a simulated 120 well oil & gas portfolio  pivot table style analytics, KPI tracking, and data driven optimization recommendations across field, reservoir, and pump type perform",Reference,41.9,51,36.8,0,0,0,,,2026-07-07T10:59:59Z,2026-07-07T11:22:41Z,False,,"production optimization oil gas in:name,description,topics","relevance=51; activity=36.8; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
AvionicS-7/GeoAI_Seismic_Classification,https://github.com/AvionicS-7/GeoAI_Seismic_Classification,Seismic / Processing,GeoAI pipeline for seismic event classification using the STEAD benchmark dataset and machine learning.,Reference,41.7,51,36.0,0,0,0,Jupyter Notebook,,2026-06-24T08:42:19Z,2026-06-24T09:25:37Z,False,earthquake-detection;geoai;geophysics;machine-learning;python;random-forest;seismology;signal-processing;stead-;stead-dataset,"geophysics machine learning in:name,description,topics","relevance=51; activity=36.0; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
muhammmadalii58/well-log-petrophysical-analysis,https://github.com/muhammmadalii58/well-log-petrophysical-analysis,Petrophysics / Data,"This project performs petrophysical analysis on real well log (LAS) data using Python. It calculates shale volume, porosity, and water saturation using standard methods and identifies reservoir and net pay zones. Multi-track log plots are u",Reference,41.6,51,35.7,0,0,0,Lasso,,2026-06-17T05:38:56Z,2026-06-17T05:45:23Z,False,,"petrophysics well logs in:name,description,topics","relevance=51; activity=35.7; matched=reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
maykonlincolnusa/Oil-Intelligence-AI,https://github.com/maykonlincolnusa/Oil-Intelligence-AI,Data / OSDU,"The MVP is designed as a clean full-stack foundation that can grow into a serious energy intelligence system with AIS tanker tracking, satellite imagery, storage tank monitoring, reservoir and well production data, OSDU/WITSML-style dataset",Reference,41.5,51,35.2,0,0,0,Python,,2026-05-10T12:34:46Z,2026-06-08T13:46:18Z,False,,"OSDU energy data in:name,description,topics","relevance=51; activity=35.2; matched=osdu, reservoir",review,2026-09-04T17:04:06.421401+00:00
egordillocotaquispe-bot/Geophysics-laboratory-in-data-processing,https://github.com/egordillocotaquispe-bot/Geophysics-laboratory-in-data-processing,Seismic / Processing,"A seismic processing prototype built with enthusiasm and Python. I want any engineer to be able to process geophysical data without going crazy. All feedback, bug reports, and pull requests are welcome.",Reference,41.3,51,34.7,0,0,0,Python,AGPL-3.0,2026-05-30T17:39:54Z,2026-05-31T02:23:05Z,False,,"seismic processing geophysics in:name,description,topics","relevance=51; activity=34.7; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
kumarDeepak-su/Seismic_Processing_Inversion_Modelling_WaveSImmulation,https://github.com/kumarDeepak-su/Seismic_Processing_Inversion_Modelling_WaveSImmulation,Seismic / Processing,"Notebooks for seismic data processing, wave-equation simulation, modelling and inversion workflows",Reference,41.2,51,34.2,0,0,0,Jupyter Notebook,,2025-08-20T11:19:25Z,2026-05-22T08:59:42Z,False,geophysics;obspy;python;seismic-inversion;seismic-processing;wave-simulation,"seismic processing geophysics in:name,description,topics","relevance=51; activity=34.2; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
abdullayevalijon696-coder/geophysics-tools,https://github.com/abdullayevalijon696-coder/geophysics-tools,Geoscience / Other,Geophysical data processing and  visualization tools for seismic hazard,Reference,41.1,51,33.9,0,0,0,Python,MIT,2026-05-16T18:17:18Z,2026-05-16T18:23:28Z,False,,"seismic processing geophysics in:name,description,topics","relevance=51; activity=33.9; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Kartikay-1007/Multi-Well-Reservoir-Intelligence-System,https://github.com/Kartikay-1007/Multi-Well-Reservoir-Intelligence-System,Petrophysics / Data,"A deterministic, rule-governed AI system that automates well log interpretation using LAS/DLIS data. It integrates domain rules (like reservoir quality, fluid detection, inclination-based exposure) with a local LLM for explainable insights.",Reference,41.1,51,34.0,0,0,0,Python,,2026-05-17T08:43:54Z,2026-05-17T09:10:03Z,False,,"DLIS LAS well log in:name,description,topics","relevance=51; activity=34.0; matched=reservoir, well log",review,2026-09-04T17:04:06.421401+00:00
amedekaemperor/Petroleum-Reservoir-Simulation-with-Python,https://github.com/amedekaemperor/Petroleum-Reservoir-Simulation-with-Python,Geoscience / Other,,Reference,41.0,51,24.9,3,0,0,Jupyter Notebook,MIT,2025-08-26T12:17:42Z,2025-08-26T12:18:35Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=24.9; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
mylenre/BHE_model,https://github.com/mylenre/BHE_model,Geothermal,"The repository contains the input files for the models used in the submited manuscript 'Subsurface energy balance for a vertical geothermal Ground-Source Heat Exchanger in Scotland, UK: an insight into the thermal footprint of heat mining'",Reference,40.9,66,0.0,0,0,0,,GPL-3.0,2021-09-25T23:04:17Z,2021-09-25T23:04:18Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=0.0; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
ANNGroup/GaS_GeoT,https://github.com/ANNGroup/GaS_GeoT,Geothermal,GaS_GeoT (Gas Geothermometers) is an application developed in the Java programming language. It includes eight new gas geothermometers (GasG1 to GasG8) derived for the determination of subsurface temperatures in geothermal systems.,Reference,40.9,66,0.0,0,0,0,,NOASSERTION,2018-12-31T21:42:50Z,2020-12-22T03:25:01Z,False,,"geothermal subsurface in:name,description,topics","relevance=66; activity=0.0; matched=geothermal, subsurface",review,2026-09-04T17:04:06.421401+00:00
Zhouhappyforever/Portfolio,https://github.com/Zhouhappyforever/Portfolio,Reservoir / Modeling,"Welcome to my GitHub repository! This portfolio showcases my skills and projects in petroleum engineering, with a focus on numerical simulations for reservoir modeling, hydraulic fracturing, and sustainable energy systems.",Reference,40.7,51,28.0,1,0,0,Jupyter Notebook,,2025-10-24T18:15:26Z,2025-12-09T05:36:35Z,False,,"reservoir simulation petroleum in:name,description,topics","relevance=51; activity=28.0; matched=petroleum, reservoir",review,2026-09-04T17:04:06.421401+00:00
quratalvi11-dotcom/seismoai,https://github.com/quratalvi11-dotcom/seismoai,Seismic / Processing,A Python library for seismic data processing — I/O and ML classification modules for the Utah FORGE dataset.,Reference,40.7,51,32.3,0,0,0,Python,MIT,2026-04-13T10:13:52Z,2026-04-16T15:31:46Z,False,geophysics;machine-learning;mlops-project;python;seismic,"seismic processing geophysics in:name,description,topics","relevance=51; activity=32.3; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
dpgraham4401/libseis,https://github.com/dpgraham4401/libseis,Seismic / Processing,A seismic data processing library with Python bindings - a just-for-fun side project,Reference,40.0,51,23.0,2,2,0,C++,MIT,2018-10-31T16:16:56Z,2025-06-20T01:14:33Z,False,geophysical-inversions;geophysics;seismic;seismic-data;seismic-inversion;seismic-processing;seismology,"seismic processing geophysics in:name,description,topics","relevance=51; activity=23.0; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
Omibuddy/rockfall_hybridseismic,https://github.com/Omibuddy/rockfall_hybridseismic,Seismic / Processing,Machine learning in Geophysics – Discriminate rockfall and hybrid seismic events using a machine learning  approach.,Reference,40.0,51,29.9,0,0,0,Jupyter Notebook,,2026-02-17T16:25:08Z,2026-03-04T14:54:09Z,False,,"geophysics machine learning in:name,description,topics","relevance=51; activity=29.9; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
marioskaragiorgas/QGeoMarine-dev,https://github.com/marioskaragiorgas/QGeoMarine-dev,Seismic / Processing,A Modular Python GUI for Seismic and Magnetic Data Processing from Marine Geophysical Surveys,Reference,39.4,51,27.9,0,0,0,Python,NOASSERTION,2025-07-04T09:05:29Z,2026-01-26T22:00:14Z,False,beta-release;geophysics;magnetics;marine-geophysical-syrveys;seismics,"seismic processing geophysics in:name,description,topics","relevance=51; activity=27.9; matched=geophysics, seismic",review,2026-09-04T17:04:06.421401+00:00
